id,view_date,views
0,2019-04-17,5831
1,2019-04-18,6104
2,2019-04-19,4058
3,2019-04-20,1643
4,2019-04-21,2303
5,2019-04-22,6888
6,2019-04-23,157
7,2019-04-24,1326
8,2019-04-25,147
9,2019-04-26,9331
10,2019-04-27,6470
11,2019-04-28,1775
12,2019-04-29,4972
13,2019-04-30,8443
14,2019-05-01,5791
15,2019-05-02,4218
16,2019-05-03,7178
17,2019-05-04,2668
18,2019-05-05,1506
19,2019-05-06,8392
20,2019-05-07,7921
21,2019-05-08,7233
22,2019-05-09,6544
23,2019-05-10,3374
24,2019-05-11,8785
25,2019-05-12,9387
26,2019-05-13,1005
27,2019-05-14,7967
28,2019-05-15,4832
29,2019-05-16,8420
30,2019-05-17,4256
31,2019-05-18,2727
32,2019-05-19,9286
33,2019-05-20,1237
34,2019-05-21,5102
35,2019-05-22,4823
36,2019-05-23,4818
37,2019-05-24,8426
38,2019-05-25,3357
39,2019-05-26,8123
40,2019-05-27,6153
41,2019-05-28,4438
42,2019-05-29,925
43,2019-05-30,9904
44,2019-05-31,6280
45,2019-06-01,183
46,2019-06-02,6368
47,2019-06-03,5774
48,2019-06-04,7316
49,2019-06-05,2798
50,2019-06-06,7615
51,2019-06-07,6332
52,2019-06-08,8895
53,2019-06-09,2808
54,2019-06-10,3868
55,2019-06-11,7255
56,2019-06-12,9637
57,2019-06-13,3623
58,2019-06-14,4940
59,2019-06-15,4585
60,2019-06-16,8872
61,2019-06-17,2527
62,2019-06-18,3099
63,2019-06-19,2361
64,2019-06-20,6208
65,2019-06-21,7851
66,2019-06-22,5598
67,2019-06-23,3381
68,2019-06-24,4932
69,2019-06-25,7405
70,2019-06-26,4557
71,2019-06-27,5525
72,2019-06-28,4006
73,2019-06-29,2893
74,2019-06-30,7456
75,2019-07-01,8414
76,2019-07-02,2853
77,2019-07-03,9814
78,2019-07-04,2820
79,2019-07-05,7259
80,2019-07-06,8000
81,2019-07-07,9869
82,2019-07-08,2286
83,2019-07-09,168
84,2019-07-10,6399
85,2019-07-11,6131
86,2019-07-12,8674
87,2019-07-13,9180
88,2019-07-14,7236
89,2019-07-15,6483
90,2019-07-16,9142
91,2019-07-17,7319
92,2019-07-18,3318
93,2019-07-19,2562
94,2019-07-20,4423
95,2019-07-21,7902
96,2019-07-22,8200
97,2019-07-23,5726
98,2019-07-24,6383
99,2019-07-25,5057
100,2019-07-26,5329
101,2019-07-27,7508
102,2019-07-28,4870
103,2019-07-29,4487
104,2019-07-30,5060
105,2019-07-31,1226
106,2019-08-01,8444
107,2019-08-02,6952
108,2019-08-03,152
109,2019-08-04,4419
110,2019-08-05,3913
111,2019-08-06,9119
112,2019-08-07,1787
113,2019-08-08,3605
114,2019-08-09,8107
115,2019-08-10,6597
116,2019-08-11,4571
117,2019-08-12,4938
118,2019-08-13,932
119,2019-08-14,8636
120,2019-08-15,2666
121,2019-08-16,9169
122,2019-08-17,6422
123,2019-08-18,8520
124,2019-08-19,8603
125,2019-08-20,5141
126,2019-08-21,8302
127,2019-08-22,7683
128,2019-08-23,4505
129,2019-08-24,2093
130,2019-08-25,1999
131,2019-08-26,8539
132,2019-08-27,6572
133,2019-08-28,5166
134,2019-08-29,6718
135,2019-08-30,3792
136,2019-08-31,5556
137,2019-09-01,2687
138,2019-09-02,4871
139,2019-09-03,460
140,2019-09-04,3372
141,2019-09-05,4403
142,2019-09-06,1181
143,2019-09-07,2735
144,2019-09-08,4000
145,2019-09-09,5044
146,2019-09-10,5553
147,2019-09-11,379
148,2019-09-12,7261
149,2019-09-13,5553
150,2019-09-14,4488
151,2019-09-15,7675
152,2019-09-16,2623
153,2019-09-17,2062
154,2019-09-18,4513
155,2019-09-19,6006
156,2019-09-20,7705
157,2019-09-21,5152
158,2019-09-22,5059
